language,English,German,French,Italian,Spanish
$PS2_MCCheckFailed,Check failed! Check memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1 and try again.,Überprüfen gescheitert! Überprüfen Sie die Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 und versuchen Sie es noch einmal.,Echec de la vérification ! Vérifier la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N° 1 et réessayer.,Controllo fallito! Controllare la memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1 e riprovare.,¡Error al comprobar! Comprueba la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1 e inténtalo de nuevo.
$PS2_MCCheckFailedContinue,Check failed! Check memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1 and try again.  Continue without saving?,Überprüfen gescheitert! Überprüfen Sie die Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 und versuchen Sie es noch einmal. Ohne Speichern fortfahren?,Echec de la vérification ! Vérifier la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N° 1 et réessayer. Continuer sans sauvegarder ?,Controllo fallito! Controllare la memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1 e riprovare. Continuare senza salvare?,¡Error al comprobar! Comprueba la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1 e inténtalo de nuevo. ¿Continuar sin guardar?
$PS2_MCChecking,"Checking memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1. Do not remove memory card (8MB) (for PlayStation®2), controller, or reset/switch off the console.",Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 wird überprüft. Memory Card (8MB) (für PlayStation®2) und Controller nicht entfernen und die Konsole nicht zurückstellen oder abschalten.,"Vérification de la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N° 1 en cours. Ne pas retirer la memory card (8MB) (pour PlayStation®2) ou la manette, ni redémarrer ou éteindre la console.",Controllo della memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1 in corso... Non rimuovere la memory card (8MB) (per PlayStation®2) né il controller e non resettare/spegnere la console.,Comprobando la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1. No extraigas la memory card ni el mando. No reinicies ni apagues la consola.
$PS2_MCConfirmFormat,Are you sure you wish to format memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1?,"Sind Sie sicher, dass Sie die Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 formatieren möchten?",Formater la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N° 1 ?,Formattare la memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1?,¿Seguro que quieres formatear la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1?
$PS2_MCContinue,Continue,Fortsetzen,Continuer,Continua,Continuar
$PS2_MCContinueWOSaving,Continue,Fortsetzen,Continuer,Continua,Continuar
$PS2_MCCorrupted,Finest Hour save data on memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1 is corrupted!,Die Finest Hour-Daten auf der Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 sind fehlerhaft.,Les données sauvegardées de Call of Duty: Le jour de gloire sur la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N° 1 sont corrompues !,I dati di L'ora degli Eroi sulla memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1 sono danneggiati!,¡Los datos guardados de Finest Hour en la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1 están dañados!
$PS2_MCCorruptedNew,Finest Hour save data on memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1 is corrupted!  Would you like to create a new Finest Hour save file?,Die Finest Hour-Daten auf der Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 sind fehlerhaft. Möchten Sie eine Finest Hour-Datei erstellen?,Les données sauvegardées de Call of Duty: Le jour de gloire sur la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N° 1 sont corrompues ! Créer un fichier de sauvegarde de Call of Duty: Le jour de gloire ?,I dati di L'ora degli Eroi sulla memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1 sono danneggiati! Creare un nuovo file di salvataggio per L'ora degli Eroi?,¡Los datos guardados de Finest Hour en la memory card (8MB) (para PlayStation®2) de la MEMORY CARD 1 están dañados! ¿Quieres crear un nuevo archivo guardado de Finest Hour?
$PS2_MCCreateFailed,Creation failed! Check memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1 and try again.,Erstellen gescheitert! Überprüfen Sie die Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 und versuchen Sie es noch einmal.,Echec de la création ! Vérifier la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N° 1 et réessayer.,Creazione fallita! Controllare la memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1 e riprovare.,¡Error al crear! Comprueba la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1 e inténtalo de nuevo.
$PS2_MCCreateFailedContinue,Creation failed! Check memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1 and try again.  Continue without saving?,Erstellen gescheitert! Überprüfen Sie die Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 und versuchen Sie es noch einmal. Ohne Speichern fortfahren?,Echec de la création ! Vérifier la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N° 1 et réessayer. Continuer sans sauvegarder ?,Creazione fallita! Controllare la memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1 e riprovare. Continuare senza salvare?,¡Error al crear! Comprueba la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1 e inténtalo de nuevo. ¿Continuar sin guardar?
$PS2_MCCreateOK,Creation successful.,Erstellen erfolgreich.,Création réussie.,Creazione completata.,Éxito al crear.
$PS2_MCCreateSaveFile,No Finest Hour save data present on memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1.  Would you like to create a Finest Hour save file?,Keine gespeicherten Finest Hour-Daten auf der Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 vorhanden.  Möchten Sie eine Finest Hour-Datei erstellen?,Pas de données de Call of Duty: Le jour de gloire présentes sur la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N° 1. Créer un fichier de sauvegarde de Call of Duty: Le jour de gloire ?,Nessun file di salvataggio per Finest Hour presente sulla memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1. Creare un file di salvataggio per Finest Hour? ,No hay datos guardados de Finest Hour en la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1. ¿Deseas crear un archivo guardado de Finest Hour?
$PS2_MCCreating,"Creating save game file. Do not remove memory card (8MB) (for PlayStation®2), controller, or reset/switch off console.",Erstellt Daten. Memory Card (8MB) (für PlayStation®2) und Controller nicht entfernen und die Konsole nicht zurückstellen oder abschalten.,"Création d'un fichier de sauvegarde en cours. Ne pas retirer la memory card (8MB) (pour PlayStation®2) ou la manette, ni redémarrer ou éteindre la console.",Creazione del file di salvataggio in corso... Non rimuovere la memory card (8MB) (per PlayStation®2) né il controller e non resettare/spegnere la console.,Creando archivo de partida guardada. No extraigas la memory card (8MB) (para PlayStation®2) ni el mando. No reinicies ni apagues la consola.
$PS2_MCDataRequired,No Finest Hour save data present on memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1.,Keine gespeicherten Finest Hour-Daten auf der Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 vorhanden.,Pas de données de Call of Duty: Le jour de gloire présentes sur la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N° 1.,Nessun file di salvataggio per L'ora degli Eroi presente sulla memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1.,No hay datos guardados de Finest Hour en la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1.
$PS2_MCDelete,Delete,Löschen,Effacer,Elimina,Borrar
$PS2_MCFormat,Format,Formatieren,Formater,Formatta,Formatear
$PS2_MCFormatCancel,Cancel format?,Formatieren abbrechen?,Annuler le formatage ?,Annullare la formattazione?,¿Cancelar formatear?
$PS2_MCFormatFailed,Format failed! Check memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1 and try again.,Formatieren gescheitert! Bitte überprüfen Sie die Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 und versuchen Sie es noch einmal.,Echec du formatage ! Vérifier la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N° 1 et réessayer.,Formattazione fallita! Controllare la memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1 e riprovare.,¡Error al formatear! Comprueba la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1 e inténtalo de nuevo.
$PS2_MCFormatFailedContinue,Format failed! Check memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1 and try again.  Continue without saving?,Formatieren gescheitert! Bitte überprüfen Sie die Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 und versuchen Sie es noch einmal. Ohne Speichern fortfahren?,Echec du formatage ! Vérifier la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N° 1 et réessayer. Continuer sans sauvegarder ?,Formattazione fallita! Controllare la memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1 e riprovare. Continuare senza salvare?,¡Error al formatear! Comprueba la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1 e inténtalo de nuevo. ¿Continuar sin guardar?
$PS2_MCFormatOK,Format successful.,Formatieren erfolgreich.,Formatage réussi.,Formattazione completata.,Éxito al formatear.
$PS2_MCFormattedRequired,No Finest Hour save data present on memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1.,Keine gespeicherten Finest Hour-Daten auf der Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 vorhanden.,Pas de données de Call of Duty: Le jour de gloire présentes sur la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N° 1.,Nessun salvataggio di L'ora degli Eroi presente nella memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1.,No hay datos guardados de Finest Hour en la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1.
$PS2_MCFormatting,"Formatting memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1. Do not remove memory card, controller, or reset/switch off console.",Formatiert Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1. Memory Card (8MB) (für PlayStation®2) und Controller nicht entfernen und die Konsole nicht zurückstellen oder abschalten.,"Formatage en cours. Ne pas retirer la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N° 1 ou la manette, ni redémarrer ou éteindre la console.",Formattazione della memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1 in corso... Non rimuovere la memory card (8MB) (per PlayStation®2) né il controller e non resettare/spegnere la console.,Formateando la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1. No extraigas la memory card ni el mando. No reinicies ni apagues la consola.
$PS2_MCGameCorrupt,The selected save data is corrupted and cannot be loaded.,Die gewählten Daten sind fehlerhaft und können nicht geladen werden.,Les données sélectionnées sont corrompues et ne peuvent être chargées.,I dati di salvataggio selezionati sono danneggiati e non possono essere caricati.,Los datos guardados seleccionados están dañados y no pueden usarse.
$PS2_MCLoadFailed,Load failed! Check memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1 and try again.,Laden gescheitert! Bitte überprüfen Sie die Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 und versuchen Sie es noch einmal.,Echec du chargement ! Vérifier la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N° 1 et réessayer.,Caricamento fallito! Controllare la memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1 e riprovare.,¡Error al cargar! Comprueba la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1 e inténtalo de nuevo.
$PS2_MCLoading,"Loading data. Do not remove memory card (8MB) (for PlayStation®2), controller, or reset/switch off console.",Lädt Daten. Memory Card (8MB) (für PlayStation®2) und Controller nicht entfernen und die Konsole nicht zurückstellen oder abschalten.,"Chargement en cours. Ne pas retirer la memory card (8MB) (pour PlayStation®2) ou la manette, ni redémarrer ou éteindre la console.",Caricamento dati in corso… Non rimuovere la memory card (8MB) (per PlayStation®2) né il controller e non resettare/spegnere la console.,Cargando datos. No extraigas la memory card (8MB) (para PlayStation®2) ni el mando. No reinicies ni apagues la consola.
$PS2_MCLoadNewGame,The selected save data is empty.  Do you want to start a new game?,Die gewählten Daten sind leer. Möchten Sie ein neues Spiel starten?,Le fichier sélectionné est vide. Commencer une nouvelle partie ?,I dati di salvataggio selezionati sono vuoti. Iniziare una nuova partita?,Los datos guardados seleccionados están vacíos. ¿Quieres comenzar una nueva partida?
$PS2_MCLoadOK,Load successful.,Laden erfolgreich.,Chargement réussi.,Caricamento completato.,Éxito al cargar.
$PS2_MCNewGameOKAutosave,"While this icon is on the screen, do not remove memory card (8MB) (for PlayStation®2), controller, or reset/switch off console.","Solange dieses Symbol auf dem Bildschirm erscheint, entfernen Sie Memory Card (8MB) (für PlayStation®2) und Controller nicht und stellen die Konsole nicht zurück oder schalten sie ab.","Lorsque cet icone est à l'écran, ne pas retirer la memory card (8MB) (pour PlayStation®2) ou la manette, ni redémarrer ou éteindre la console.","Mentre questa icona è visibile, non rimuovere la memory card (8MB) (per PlayStation®2) né il controller e non resettare/spegnere la console.","Mientras este icono esté en la pantalla, no extraigas la memory card (8MB) (para PlayStation®2) ni el mando. No reinicies ni apagues la consola."
$PS2_MCNo,No,Nein,Non,No,No
$PS2_MCNoCardContinue,Continue without saving?,Ohne Speichern fortfahren?,Continuer sans sauvegarder ?,Continuare senza salvare?,¿Continuar sin guardar?
$PS2_MCNoCardLoad,No memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1.,Keine Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1.,Pas de memory card (8MB) (pour PlayStation®2) insérée dans la fente pour MEMORY CARD N° 1.,Nessuna memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1.,No hay memory card (8MB) (para PlayStation®2) en la ranura para MEMORY CARD 1.
$PS2_MCNoSpace,Insufficient free space on memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1.  Finest Hour requires ${SaveGameSize}KB of free space to save data.,"Ungenügend Speicherplatz auf der Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1. Finest Hour benötigt ${SaveGameSize} KB freien Speicherplatz, um Daten zu speichern.",Espace insuffisant sur la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N° 1. Call of Duty: Le jour de gloire nécessite ${SaveGameSize} KB d’espace libre pour sauvegarder les données.,Spazio libero insufficiente sulla memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1. L'ora degli Eroi richiede ${SaveGameSize}KB di spazio libero per salvare i dati.,No hay espacio suficiente libre en la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1. Finest Hour necesita ${SaveGameSize} KB de espacio libre para guardar datos.
$PS2_MCNoSpaceContinue,Insufficient free space on memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1.  Finest Hour requires ${SaveGameSize}KB of free space to save data.,"Ungenügend Speicherplatz auf der Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1. Finest Hour benötigt ${SaveGameSize} KB freien Speicherplatz, um Daten zu speichern.",Espace insuffisant sur la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N° 1. Call of Duty: Le jour de gloire nécessite ${SaveGameSize} KB d’espace libre pour sauvegarder les données.,Spazio libero insufficiente sulla memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1. L'ora degli Eroi richiede ${SaveGameSize}KB di spazio libero per salvare i dati.,No hay espacio suficiente libre en la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1. Finest Hour necesita ${SaveGameSize} KB de espacio libre para guardar datos.
$PS2_MCOK,OK,OK,OK,OK,ACEPTAR
$PS2_MCOverwriteContinue,Are you sure you wish to overwrite this save file?,"Sind Sie sicher, dass Sie diese Datei überschreiben möchten?",Confirmer l’écrasement de ce fichier ?,Sovrascrivere questo file?,¿Seguro que quieres sobrescribir este archivo guardado?
$PS2_MCOverwriteFailed,Overwrite failed! Check memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1 and try again.,Überschreiben gescheitert! Bitte überprüfen Sie die Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 und versuchen Sie es noch einmal.,Echec de l’écrasement ! Vérifier la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N° 1 et réessayer.,Sovrascrittura fallita! Controllare la memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1 e riprovare.,¡Error al sobrescribir! Comprueba la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1 e inténtalo de nuevo.
$PS2_MCOverwriteFailedContinue,Overwrite failed! Check memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1 and try again.  Continue without saving?,Überschreiben gescheitert! Bitte überprüfen Sie die Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 und versuchen Sie es noch einmal. Ohne Speichern fortfahren?,Echec de l’écrasement ! Vérifier la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N° 1 et réessayer. Continuer sans sauvegarder ?,Sovrascrittura fallita! Controllare la memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1 e riprovare. Continuare senza salvare?,¡Error al sobrescribir! Comprueba la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1 e inténtalo de nuevo. ¿Continuar sin guardar?
$PS2_MCOverwriteNewContinue,Are you sure you wish to overwrite this save file?,"Sind Sie sicher, dass Sie diese Datei überschreiben möchten?",Confirmer l’écrasement de ce fichier ?,Sovrascrivere questo file?,¿Seguro que quieres sobrescribir este archivo guardado?
$PS2_MCOverwriteOK,Overwrite successful.,Überschreiben erfolgreich.,Ecrasement réussi.,Sovrascrittura completata.,Éxito al sobrescribir.
$PS2_MCOverwriting,"Overwriting data. Do not remove memory card (8MB) (for PlayStation®2), controller, or reset/switch off console.",Überschreibt Daten. Memory Card (8MB) (für PlayStation®2) und Controller nicht entfernen und die Konsole nicht zurückstellen oder abschalten.,"Ecrasement des données. Ne pas retirer la memory card (8MB) (pour PlayStation®2) ou la manette, ni redémarrer ou éteindre la console.",Sovrascrittura dati in corso... Non rimuovere la memory card (8MB) (per PlayStation®2) né il controller e non resettare/spegnere la console.,Sobrescribiendo datos. No extraigas la memory card (8MB) (para PlayStation®2) ni el mando. No reinicies ni apagues la consola.
$PS2_MCRetry,Retry,Wiederholen,Réessayer,Riprova,Reintentar
$PS2_MCSaveFailed,Save failed! Check memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1 and try again.,Speichern gescheitert! Bitte überprüfen Sie die Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 und versuchen Sie es noch einmal.,Echec de la sauvegarde ! Vérifier la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N° 1 et réessayer.,Salvataggio fallito! Controllare la memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1 e riprovare.,¡Error al guardar! Comprueba la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1 e inténtalo de nuevo.
$PS2_MCSaveFailedContinue,Save failed! Check memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1 and try again.  Continue without saving?,Speichern gescheitert! Bitte überprüfen Sie die Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 und versuchen Sie es noch einmal. Ohne Speichern fortfahren?,Echec de la sauvegarde ! Vérifier la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N° 1 et réessayer. Continuer sans sauvegarder ?,Salvataggio fallito! Controllare la memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1 e riprovare. Continuare senza salvare?,¡Error al guardar! Comprueba la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1 e inténtalo de nuevo. ¿Continuar sin guardar?
$PS2_MCSaveOK,Save successful.,Speichern erfolgreich.,Sauvegarde réussie.,Salvataggio completato.,Éxito al guardar.
$PS2_MCSaving,"Saving data. Do not remove memory card (8MB) (for PlayStation®2), controller, or reset/switch off console.",Speichert Daten. Memory Card (8MB) (für PlayStation®2) und Controller nicht entfernen und die Konsole nicht zurückstellen oder abschalten.,"Sauvegarde en cours. Ne pas retirer la memory card (8MB) (pour PlayStation®2) ou la manette, ni redémarrer ou éteindre la console.",Salvataggio dati in corso… Non rimuovere la memory card (8MB) (per PlayStation®2) né il controller e non resettare/spegnere la console.,Guardando datos. No extraigas la memory card (8MB) (para PlayStation®2) ni el mando. No reinicies ni apagues la consola.
$PS2_MCUnformatted,Memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1 is unformatted.  Format memory card (8MB) (for PlayStation®2)?,Die Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 ist nicht formatiert. Möchten Sie die Memory Card (8MB) (für PlayStation®2) formatieren?,La memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N° 1 n’est pas formatée. Formater la memory card (8MB) (pour PlayStation®2) ?,La memory card (8MB) (per PlayStation®2) inserita nell’ingresso MEMORY CARD 1 non è formattata. Formattare la memory card (8MB) (per PlayStation®2)?,La memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1 no tiene formato. ¿Deseas formatear la memory card (8MB) (para PlayStation®2)?
$PS2_MCWrongVersion,Save file is wrong version. Overwrite?,Datei hat die falsche Version. Überschreiben?,Mauvaise version du fichier de sauvegarde. L'écraser ?,La versione del file di salvataggio è sbagliata. Sovrascrivere?,El archivo guardado es de otra versión. ¿Sobrescribir?
$PS2_MCYes,Yes,Ja,Oui,Sì,Sí
$PS2_NoControllerText,"The DUALSHOCK®2 analog controller is not detected. Please insert a DUALSHOCK®2 analog controller to controller port 1, and press $JumpButton to continue.",Kein Analog Controller (DUALSHOCK®2) angeschlossen. Bitte schließen Sie einen Analog Controller (DUALSHOCK®2) an Controller-Anschluss 1 an und drücken Sie $JumpButton zum Fortsetzen.,Aucune manette analogique (DUALSHOCK®2) détectée. Connecter une manette analogique (DUALSHOCK®2) dans le port de manette N°1 et appuyer sur $JumpButton pour continuer.,Controller analogico (DUALSHOCK®2) non rilevato. Collegare un controller analogico (DUALSHOCK®2) all'ingresso controller 1 e premere il tasto $JumpButton per continuare.,"No se detecta ningún mando analógico (DUALSHOCK®2). Inserta un mando analógico (DUALSHOCK®2) al puerto de mando 1, y pulsa $JumpButton para continuar."
$PS2_NoControllerTitle,No Controller,Kein Controller,Pas de manette.,Controller assente,No hay mando
$PS2_ProgressiveTest,The screen mode has been changed to progressive scan.  Select OK to keep this change.  Change will revert in $ProgressiveCountdown seconds.,"Die Anzeige wurde auf Progressive Scan umgestellt. Wählen Sie OK, um diese Einstellung beizubehalten. Die Änderung wird in $ProgressiveCountdown Sekunden rückgängig gemacht.",Le mode d'affichage a été changé en Balayage progressif. Sélectionner OK pour valider ce changement. Ce changement sera annulé dans $ProgressiveCountdown secondes.,La modalità schermo è cambiata in scansione progressiva. Selezionare OK per mantenere il cambiamento. Ritorno alla modalità originaria tra $ProgressiveCountdown secondi.,El modo de pantalla ha cambiado a escaneo progresivo. Selecciona Aceptar para mantener este cambio. Se volverá al modo anterior en $ProgressiveCountdown segundos.
$PS2_ProgressiveTestCancel,Cancel,Abbrechen,Annuler,Annulla,Cancelar
$PS2_ProgressiveTestOK,OK,OK,OK,OK,ACEPTAR
$PS2_ProgressiveWarning,"On the next page, a test will be performed to see if your television supports progressive scan.  If the screen goes blank, just wait 15 seconds for the test to complete.","Auf der folgenden Seite sehen Sie einen Test, ob Ihr Fernseher Progressive Scan unterstützt. Sollte die Anzeige schwarz werden, warten Sie einfach 15 Sekunden, bis der Test abgeschlossen ist.","Sur la page suivante, un test sera effectué pour savoir si votre téléviseur est compatible avec le mode Balayage progressif. Si rien ne s'affiche à l'écran, patienter 15 secondes jusqu'à la fin du test.","Nella pagina successiva, verrà effettuato un test per verificare se il televisore supporta la scansione progressiva. Se lo schermo appare vuoto, attendere 15 secondi per la fine del test.","En la siguiente página se realizará una prueba para ver si tu televisor es compatible con el escaneo progresivo. Si la pantalla se pone en blanco, espera 15 segundos para que la prueba termine."
$PS2_SoloController1Text,Controller Port 1,Controller-Anschluss 1,Port de manette N°1,Ingresso controller 1,Puerto de mando 1
$PS2_SoloController2Text,Controller Port 2,Controller-Anschluss 2,Port de manette N°2,Ingresso controller 2,Puerto de mando 2
$PS2_VibrationSet,Vibration:,Vibration:,Fonction de vibration :,Vibrazione:,Vibración
$PS2_YankControllerText,A DUALSHOCK®2 analog controller has been removed. Press $JumpButton to continue playing.,Ein Analog Controller (DUALSHOCK®2) wurde entfernt. Drücken Sie $JumpButton zum Fortsetzen.,Une manette analogique (DUALSHOCK®2) a été retirée. Appuyer sur $JumpButton pour continuer à jouer.,È stato rimosso un controller analogico (DUALSHOCK®2). Premere il tasto $JumpButton per continuare a giocare.,Un mando analógico (DUALSHOCK®2) ha sido extraído. Pulsa $JumpButton para seguir jugando.
$PS2_YankControllerTitle,Controller Removed,Controller entfernt,Manette retirée.,Controller rimosso,Mando extraído
$XBX_ControllerSetupInfo,"To join the game, connect a controller and press $Accept.  To leave the game, press $Accept on any active controller.",Zum Mitspielen schließen Sie einen Controller an und drücken Sie $Accept.  Zum Verlassen des Spiels drücken Sie $Accept auf einem angeschlossenen Controller.,"Pour rejoindre la partie, connecter une manette et appuyer sur $Accept. Pour quitter la partie, appuyer sur $Accept pour toutes les manettes actives.","Per partecipare a una partita, collega un controller e premi $Accept. Per abbandonare la partita, premi $Accept su qualunque controller attivo.","Para unirte a la partida, conecta un mando y pulsa $Accept. Para salir de la partida, pulsa $Accept en cualquier mando activo."
$XBX_ControllerText,Controller 1,Controller 1,Manette 1,Controller 1,Mando 1
$XBX_CorruptedText,Damaged Save,Fehlerhafter Spielstand,Sauvegarde endommagée,Salvataggio danneggiato,Partida dañada
$XBX_DirtyDisc,There's a problem with the disc you're using. It may be dirty or damaged.,Bei der benutzten CD ist ein Problem aufgetreten. Möglicherweise ist sie verschmutzt oder beschädigt.,Le disque utilisé présente une anomalie. Il est peut-être sale ou endommagé. ,Il disco in uso ha qualche problema. Potrebbe essere sporco o danneggiato.,Hay un problema con el disco que está usando. Puede estar sucio o dañado.
$XBX_MCAutosaveDisabled,Autosave has been disabled.  Manually save your game to re-enable autosave.,"Das automatische Speichern wurde deaktiviert. Speichern Sie das Spiel manuell, um das automatische Speichern wieder zu aktivieren.",La sauvegarde automatique a été désactivée. Sauvegarder manuellement pour réactiver la sauvegarde automatique.,L'Autosalvataggio è stato disabilitato. Salva manualmente la partita per riabilitarlo.,El autoguardado ha sido desactivado. Guarda manualmente la partida para reactivar el autoguardado.
