language,English,German,French,Italian,Spanish
$MCNoControllerLine,"The analog controller (DUALSHOCK®2) is not detected.

Please insert an analog controller (DUALSHOCK®2) into controller port 1.","Kein Analog Controller (DUALSHOCK®2) gefunden.

Bitte den Controller wieder an Controller-Anschluss 1 anschließen.","Pas de manette analogique (DUALSHOCK®2) détectée.

Insérer une manette analogique (DUALSHOCK®2) dans le port de manette N°1.","Controller analogico (DUALSHOCK®2) non rilevato.

Inserire un controller analogico (DUALSHOCK®2) nell'ingresso controller 1.","No se detecta ningún mando analógico (DUALSHOCK®2).



Inserta un mando analógico (DUALSHOCK®2) en el puerto de mando 1."
$MCMenuButtonSelect,$ms$ Select,$ms$ Wählen,$ms$ Sélectionner,$ms$ Seleziona,$ms$ para seleccionar
$MCMenuButtonCancel,$mc$ Cancel,$mc$ Abbruch,$mc$ Annuler,$mc$ Annulla,$mc$ para cancelar
$MCMenuButtonUnPause,$pa$ Unpause,$pa$ Fortsetzen,$pa$ Reprendre,$pa$ Riprendi,$pa$ para salir de la pausa
$MCMenuButtonNavigate,$ud$ Navigate menu,$ud$ Menüoption,$ud$ Parcourir menu,$ud$ Navigazione menu,$ud$ para moverte por el menú
$MCMenuButtonChangeOption,$lr$ Change option,$lr$ Ändern,$lr$ Changer option,$lr$ Cambia opzione,$lr$ para cambiar de opción
$MCWarning,Warning,Warnung,Attention,Attenzione,Atención
$MCResetDataWarning,Do you wish to proceed and reset all unsaved game data?,Möchten Sie fortfahren und alle ungespeicherten Daten zurücksetzen?,Continuer et remplacer toutes les données non sauvegardées ?,Vuoi procedere e azzerare tutti i dati di gioco non salvati?,¿Quieres continuar y reemplazar los datos sin guardar?
$MCLoadProfileWarning,Do you wish to proceed and replace all unsaved game data?,Möchten Sie fortfahren und alle ungespeicherten Daten ersetzen?,Continuer et remplacer toutes les données non sauvegardées ?,Vuoi procedere e sostituire tutti i dati di gioco non salvati?,¿Quieres continuar y reemplazar los datos sin guardar?
$MCNoCardSaveContinueGame,"No memory card (PS2) in MEMORY CARD slot 1.

Continue without saving?",Keine Memory Card (PS2) in MEMORY CARD-Steckplatz 1 eingelegt. Ohne Speichern fortfahren?,Pas de memory card (PS2) dans la fente pour MEMORY CARD N° 1. Continuer sans sauvegarder ?,Nessuna memory card (PS2) inserita nell’ingresso MEMORY CARD 1. Continuare senza salvare? ,No hay memory card (PS2) en la ranura para MEMORY CARD 1. ¿Continuar sin guardar?
$MCNoControllerLineUS,"The DUALSHOCK®2 analog controller is not detected.

Please insert a DUALSHOCK®2 analog controller into controller port 1.",,,,
